ID,CATEGORY,Site Name,State,Other site,Industry,Sample mat,Sample dat,PFOA (ppt),PFOS (ppt),PFOA+PFOS,Total PFAS,Notes and,Link to PF,Link to su,Federal/st,Site-speci,Site-spe_1,"Site Name,",latitude,longitude,name,desc,color,source,precision,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME_2,NAMELSAD,STUSPS,NAMELSADCO,STATE_NAME,LSAD,ALAND,AWATER
3.000000000000000,Known,Maxwell-Gunter Air Force Base,Alabama,,Military,Groundwater,2017.000000000000000,84000.000000000000000,38000.000000000000000,122000.000000000000000,540637.000000000000000,"PFOS, PFOA, and PFOS+PFOA exceeded the USEPA HA value during the 2013 sampling event within FTA No. 2, while PFOS+PFOA exceeded the USEPA HA value during the November 2017 SI re-sampling event in one monitoring well installed adjacent to FTA No. 2 along",https://drive.google.com/file/d/1vDzjU9g2heBhe6R3X-uL8zjOebYiXVA1/view?usp=sharing,,https://ar.afcec-cloud.af.mil/Search.aspx,https://drive.google.com/drive/u/1/folders/1udCap1SXpVt2Rg8ln9Na0g0bZ60Mtkaq,,"Maxwell-Gunter Air Force Base, Alabama",32.380000000000003,-86.359999999999999,"Maxwell-Gunter Air Force Base, Alabama","Maxwell Air Force Base, AL",,Bing Maps,Airport,"01","101","000900",1400000US01101000900,"01101000900","9",Census Tract 9,AL,Montgomery County,Alabama,CT,"8868139","788528"
8.000000000000000,Known,Adak Naval Air Facility,Alaska,,Military,Groundwater,2018.000000000000000,716.000000000000000,3630.000000000000000,,,,https://www.akaction.org/wp-content/uploads/Report-Threats-to-Drinking-Water-and-Public-Health-in-Alaska-FINAL-web-version-9-24-19.pdf,https://www.akaction.org/wp-content/uploads/Report-Threats-to-Drinking-Water-and-Public-Health-in-Alaska-FINAL-web-version-9-24-19.pdf,https://dec.alaska.gov/spar/csp/sites/adak/,,https://drive.google.com/drive/u/1/folders/16k9q_GfKDxIlkLwYq5hYoOsOeFXo_I51,"Adak Naval Air Facility, Alaska",51.869999999999997,-176.659999999999997,"Adak Naval Air Facility, Alaska","Adak, AK",,Bing Maps,city/town,"02","016","000100",1400000US02016000100,"02016000100","1",Census Tract 1,AK,Aleutians West Census Area,Alaska,CT,"8556804421","22079077527"
12.000000000000000,Known,Anchorage Airport,Alaska,,Airport,Groundwater,2019.000000000000000,56000.000000000000000,268000.000000000000000,,,AFFF use,https://drive.google.com/file/d/1a4UV7OwiKnCr-hlOL4HPcrfeIhrYFWB3/view?usp=sharing,https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27120,https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27120,https://drive.google.com/drive/u/0/folders/1RtWzvyemLSZMtSQkRkawBw0shzMLGVAU,,"Anchorage Airport, Alaska",61.170000000000002,-149.990000000000009,"Anchorage Airport, Alaska","Ted Stevens Anchorage International Airport, AK",,Bing Maps,Airport,"02","020","002301",1400000US02020002301,"02020002301","23.01",Census Tract 23.01,AK,Anchorage Municipality,Alaska,CT,"50814199","218718249"
13.000000000000000,Known,Aniak Airport,Alaska,,Airport,Drinking Water,,,,,,,https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27266,https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27266,https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27266,https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27266,https://drive.google.com/drive/u/0/folders/1GbuPEvEl2pOLF0P-ofAdzZ_O8o4rKrpY,"Aniak Airport, Alaska",61.570000000000000,-159.539999999999992,"Aniak Airport, Alaska","Aniak Airport, AK",,Bing Maps,Airport,"02","050","000300",1400000US02050000300,"02050000300","3",Census Tract 3,AK,Bethel Census Area,Alaska,CT,"49367571113","622683516"
14.000000000000000,Known,Barrow Airport,Alaska,,Airport,Surface Water,,,,,,,https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/26792,https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/26792,https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/26792,,https://drive.google.com/drive/u/0/folders/12lEyCeF5ZgCddD-yF0KPnoHFYn_SNOut,"Barrow Airport, Alaska",71.280000000000001,-156.759999999999991,"Barrow Airport, Alaska","Wiley Post-Will Rogers Memorial Airport, AK",,Bing Maps,Airport,"02","185","000100",1400000US02185000100,"02185000100","1",Census Tract 1,AK,North Slope Borough,Alaska,CT,"253339885","367665274"
15.000000000000000,Known,Bethel Airport,Alaska,,Airport,Soil,2020.000000000000000,4000.000000000000000,25000.000000000000000,,,,,https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27155,https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27155,https://drive.google.com/drive/u/0/folders/1FCp5HfzFngp7nEVfgiNXf7lWQN5yv-Gd,https://drive.google.com/drive/u/0/folders/10dJsZ4-s9jDoG8mS4qFLt_eZjWhmpOmt,"Bethel Airport, Alaska",60.770000000000003,-161.830000000000013,"Bethel Airport, Alaska","Bethel Airport, AK",,Bing Maps,Airport,"02","050","000200",1400000US02050000200,"02050000200","2",Census Tract 2,AK,Bethel Census Area,Alaska,CT,"566643599","27759252"
16.000000000000000,Known,Bloom Enterprises Fire,Alaska,,Fire Department/Training Facility,Drinking Water,2019.000000000000000,3.000000000000000,2.000000000000000,,,"On 5/9/17 a spill occurred as a result of fire originating near an incinerator unit where large quantities of used vegetable oil had been stored in plastic containers. The plastic containers melted during the incident, releasing the vegetable oil. In add",https://drive.google.com/file/d/19cav3FFVTJyuIm1xJDkJjzZ-WDwuh89t/view?usp=sharing,https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/26896,https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/26896,https://drive.google.com/drive/u/0/folders/16YvokKcmihXnebJUplPThGrXqlNiydP4,,"Bloom Enterprises Fire, Alaska",61.149999999999999,-150.199999999999989,"Bloom Enterprises Fire, Alaska","Fire Island, AK",,Bing Maps,Island,"02","020","002301",1400000US02020002301,"02020002301","23.01",Census Tract 23.01,AK,Anchorage Municipality,Alaska,CT,"50814199","218718249"
17.000000000000000,Known,City of Kenai Airport,Alaska,,Airport,Drinking Water,2018.000000000000000,,1.000000000000000,,,Use of Aqueous Film Forming Foam (AFFF) at various locations at the Kenai municipal airport.,https://drive.google.com/file/d/131fup-rVEbwr2DFZpXO6H1T_r1SgmQ3z/view?usp=sharing,https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27093,https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27093,https://drive.google.com/drive/u/0/folders/1oo6i_uXsK7PMjNsS5AXTL-sUPSJm4l4A,https://drive.google.com/drive/u/0/folders/13hmuD0DIxmhGB2O0NKW33bpTHoZT5m7A,"City of Kenai Airport, Alaska",60.570000000000000,-151.240000000000009,"City of Kenai Airport, Alaska","Kenai Municipal Airport, AK",,Bing Maps,Airport,"02","122","000600",1400000US02122000600,"02122000600","6",Census Tract 6,AK,Kenai Peninsula Borough,Alaska,CT,"75472419","139952000"
18.000000000000000,Known,City of North Pole Fire Station,Alaska,,Airport,Groundwater,2020.000000000000000,2100.000000000000000,140000.000000000000000,,,,https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27175,https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27175,https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27175,,https://drive.google.com/drive/u/0/folders/1p29ThrAfAjHwaPPqPXZzHiYybLQe5g36,"City of North Pole Fire Station, Alaska",64.750000000000000,-147.349999999999994,"City of North Pole Fire Station, Alaska","North Pole, AK",,Bing Maps,city/town,"02","090","001600",1400000US02090001600,"02090001600","16",Census Tract 16,AK,Fairbanks North Star Borough,Alaska,CT,"25027079","178393"
19.000000000000000,Known,Clear Air Force Station,Alaska,,Military,Groundwater,2016.000000000000000,2200.000000000000000,160.000000000000000,2213.000000000000000,7244.000000000000000,"PFOA and/or PFOS were detected above screening levels in soil and/or groundwater at all 5 AFFF areas investigated, confirming the presence of PFAS at each of the AFFF areas and the need for further investigation. PFAS in groundwater may pose a potential",https://drive.google.com/file/d/1KTlGuj7r03TpGUFzqSrR6vU2VvJ6s-kf/view?usp=sharing,https://www.akaction.org/wp-content/uploads/Report-Threats-to-Drinking-Water-and-Public-Health-in-Alaska-FINAL-web-version-9-24-19.pdf,http://afcec.publicadmin-record.us.af.mil/,https://drive.google.com/drive/u/0/folders/1WEmeFch44FEPrOXfpBe2aHXUnJOW9WF5,https://drive.google.com/drive/folders/1DAvaRcWJmZhNWQ1q_AHED0zlHGyLsp0c,"Clear Air Force Station, Alaska",64.280000000000001,-149.189999999999998,"Clear Air Force Station, Alaska","Clear Air Force Station, AK",,Bing Maps,MilitaryBase,"02","068","000100",1400000US02068000100,"02068000100","1",Census Tract 1,AK,Denali Borough,Alaska,CT,"32740165582","66105677"
